model,params,quant,agentic_score,task_success_pct,tool_eff,stable_pct,tokens_per_task,chain,multistep,coding,gate,hf_repo,date,note,lc32k,lc128k,reach
Qwopus3.6-27B-Coder,27B,Q5_K_M,100.0,100.0,1.0,100.0,195.1,8/8,8/8,8/8,pass,Jackrong/Qwopus3.6-27B-Coder-MTP-GGUF,2026-06-17,coder SFT of Qwopus3.6-v2; trained on Hermes agent traces — partially in-distribution for this bench (see reality anchor),-,-,-
Qwen3.6-35B-A3B (base),35B-A3B,Q5_K_M,99.58,100.0,0.979,100.0,260.7,8/8,8/8,8/8,pass,unsloth/Qwen3.6-35B-A3B-GGUF,2026-06-17,vanilla generalist base — Qwable's untuned starting point; tops the board and ties best real SWE-bench resolve (19/30),-,-,-
Qwen3.6-27B,27B,Q6_K,98.61,97.2,1.0,100.0,285.2,8/8,8/8,8/8,pass,unsloth/Qwen3.6-27B-GGUF,2026-06-17,dense 27B; the model Donald itself runs,100%,100%,128k
Qwen3.6-35B-A3B Opus-distill,35B-A3B,Q5_K_M,97.92,100.0,0.896,100.0,200.3,8/8,8/8,8/8,pass,mradermacher/Qwen3.6-35B-A3B-Claude-4.7-Opus-Reasoning-Distilled-GGUF,2026-06-17,base + Claude Opus-4.7 reasoning distill — the intermediate step before Qwable's Fable-5 agentic SFT,-,-,-
Qwable-3.6-27b,27B,Q4_K_M,97.64,97.2,0.951,100.0,207.3,8/8,8/8,8/8,pass,Mia-AiLab/Qwable-3.6-27b,2026-06-17,"dense Qwen3.6-27B + Fable-5-style reasoning/instruction SFT. Matched-Q4 vs its base: quality AND agentic stay flat (97.64 vs 98.19), but real SWE-bench resolve drops 18→11/30 and give-ups rise 7→13 — a genuine bug-fixing regression the synthetic score MISSED (unlike the MoE Qwable-v1, whose agentic score declined). The anchor caught it; quant ruled out (base Q6→Q4 = −1 bug)",-,-,-
Qwen3.5-35B-A3B (base),35B-A3B,Q4_K_M,97.5,100.0,0.875,100.0,241.4,8/8,8/8,8/8,pass,bartowski/Qwen_Qwen3.5-35B-A3B-GGUF,2026-06-17,"generalist base, no agentic post-train",100%,50%,128k
Qwopus-GLM-18B,18B,Q6_K,97.08,97.2,0.924,100.0,231.8,8/8,8/8,8/8,pass,KyleHessling1/Qwopus-GLM-18B-Merged-GGUF,2026-06-17,GLM-based community merge,100%,100%,128k
Nemotron-Cascade-2-30B,30B-A3B,Q4_K_M,96.94,100.0,0.847,100.0,320.1,8/8,8/8,8/8,pass,bartowski/nvidia_Nemotron-Cascade-2-30B-A3B-GGUF,2026-06-17,Nvidia; the rig's prior speed-king,50%,0%,128k
Qwable-v1,35B-A3B,Q5_K_M,96.25,94.4,0.951,100.0,248.2,7/8,8/8,8/8,pass,lordx64/Qwable-v1-GGUF,2026-06-17,base + Opus-4.7 reasoning distill + Fable-5 agentic SFT. Each step LOWERS the agentic score (99.58→97.92→96.25) and real resolve drops 19→11/30 vs the vanilla base — the distillation regressed agentic-coding capability (not a mirage: synthetic fairly predicts real here),-,-,-
Kimi-Linear-48B-A3B,48B-A3B,Q4_K_M,92.91,94.4,0.784,100.0,185.2,7/8,7/8,8/8,pass,bartowski/moonshotai_Kimi-Linear-48B-A3B-Instruct-GGUF,2026-06-17,linear-attention; runs natively on one 5090; long-context untested here,100%,100%,128k
Granite-4.1-30b,30B,UD-Q4_K_XL,92.04,86.1,0.949,100.0,79.1,8/8,8/8,7/8,pass,unsloth/granite-4.1-30b-GGUF,2026-06-17,leanest competent agent on the board,50%,OOM,32k
Nex-N2-mini,35B-A3B,Q4_K_M,90.42,83.3,0.938,100.0,82.5,7/8,7/8,7/8,pass,eramax/Nex-N2-mini-gguf,2026-06-17,agentic post-train of Qwen3.5; Adaptive Thinking,100%,100%,128k
North-Mini-Code-1.0,30B-A3B,Q6_K,90.42,83.3,0.938,100.0,285.7,6/8,6/8,8/8,pass,unsloth/North-Mini-Code-1.0-GGUF,2026-06-17,"Cohere agentic-coding MoE (cohere2moe), reasoning ON (its default); lands last despite the agentic-coding tuning — read vs its self-published SWE-bench Verified (reality anchor)",-,-,-
